"Year","Month","sex","race","age_x","obitos"
2010,9,"Male","Brown",15,17
2010,9,"Male","Brown",20,53
2010,9,"Male","Brown",25,53
2010,9,"Male","Brown",30,42
2010,9,"Male","Brown",35,44
2010,9,"Male","Brown",40,43
2010,9,"Male","Brown",45,47
2010,9,"Male","Brown",50,53
2010,9,"Male","Brown",55,54
2010,9,"Male","Brown",60,60
2010,9,"Male","Brown",65,60
2010,9,"Male","Brown",70,90
2010,9,"Male","Brown",75,78
2010,9,"Male","Brown",80,156
2010,9,"Female","Indigenous",80,2
2010,9,"Male","Indigenous",35,1
2010,9,"Male","Indigenous",60,1
2010,9,"Male","Indigenous",70,1
2010,9,"Male","Indigenous",80,2
2010,9,"Female","White",0,14
2010,9,"Female","White",5,3
2010,9,"Female","White",10,1
2010,9,"Female","White",15,5
2010,9,"Female","White",20,7
2010,9,"Female","White",25,3
2010,9,"Female","White",30,7
2010,9,"Female","White",35,2
2010,9,"Female","White",40,5
2010,9,"Female","White",45,3
2010,9,"Female","White",50,5
2010,9,"Female","White",55,6
2010,9,"Female","White",60,14
2010,9,"Female","White",65,17
2010,9,"Female","White",70,28
2010,9,"Female","White",75,15
2010,9,"Female","White",80,59
2010,9,"Male","White",0,15
2010,9,"Male","White",5,1
2010,9,"Male","White",10,2
2010,9,"Male","White",15,2
2010,9,"Male","White",20,7
2010,9,"Male","White",25,13
2010,9,"Male","White",30,8
2010,9,"Male","White",35,3
2010,9,"Male","White",40,8
2010,9,"Male","White",45,9
2010,9,"Male","White",50,6
2010,9,"Male","White",55,10
2010,9,"Male","White",60,7
2010,9,"Male","White",65,21
2010,9,"Male","White",70,31
2010,9,"Male","White",75,24
2010,9,"Male","White",80,63
2010,10,"Female","Asian",80,1
2010,10,"Male","Asian",20,1
2010,10,"Male","Asian",30,1
2010,10,"Male","Asian",35,1
2010,10,"Male","Asian",40,1
2010,10,"Male","Asian",55,1
2010,10,"Male","Asian",60,1
2010,10,"Male","Asian",75,1
2010,10,"Male","Asian",80,2
2010,10,"Female","Black",15,1
2010,10,"Female","Black",20,2
2010,10,"Female","Black",25,1
2010,10,"Female","Black",30,2
2010,10,"Female","Black",35,2
2010,10,"Female","Black",40,4
2010,10,"Female","Black",45,3
2010,10,"Female","Black",50,3
2010,10,"Female","Black",55,2
2010,10,"Female","Black",60,9
2010,10,"Female","Black",65,9
2010,10,"Female","Black",70,7
2010,10,"Female","Black",75,14
2010,10,"Female","Black",80,15
2010,10,"Male","Black",0,3
2010,10,"Male","Black",5,1
2010,10,"Male","Black",10,3
2010,10,"Male","Black",15,5
2010,10,"Male","Black",20,8
2010,10,"Male","Black",25,6
2010,10,"Male","Black",30,10
2010,10,"Male","Black",35,6
2010,10,"Male","Black",40,3
2010,10,"Male","Black",45,9
2010,10,"Male","Black",50,6
2010,10,"Male","Black",55,7
2010,10,"Male","Black",60,8
2010,10,"Male","Black",65,11
2010,10,"Male","Black",70,14
2010,10,"Male","Black",75,11
2010,10,"Male","Black",80,24
2010,10,"Female","Brown",0,39
2010,10,"Female","Brown",5,9
2010,10,"Female","Brown",10,2
2010,10,"Female","Brown",15,5
2010,10,"Female","Brown",20,12
2010,10,"Female","Brown",25,15
2010,10,"Female","Brown",30,8
2010,10,"Female","Brown",35,15
2010,10,"Female","Brown",40,21
2010,10,"Female","Brown",45,23
2010,10,"Female","Brown",50,27
2010,10,"Female","Brown",55,31
2010,10,"Female","Brown",60,43
2010,10,"Female","Brown",65,47
2010,10,"Female","Brown",70,54
2010,10,"Female","Brown",75,44
2010,10,"Female","Brown",80,124
2010,10,"Male","Brown",0,66
2010,10,"Male","Brown",5,6
2010,10,"Male","Brown",10,8
2010,10,"Male","Brown",15,20
2010,10,"Male","Brown",20,48
2010,10,"Male","Brown",25,69
2010,10,"Male","Brown",30,41
2010,10,"Male","Brown",35,41
2010,10,"Male","Brown",40,43
2010,10,"Male","Brown",45,53
2010,10,"Male","Brown",50,47
2010,10,"Male","Brown",55,41
2010,10,"Male","Brown",60,62
2010,10,"Male","Brown",65,71
2010,10,"Male","Brown",70,68
2010,10,"Male","Brown",75,75
2010,10,"Male","Brown",80,131
2010,10,"Female","Indigenous",0,1
2010,10,"Female","Indigenous",45,1
2010,10,"Female","Indigenous",50,1
2010,10,"Female","Indigenous",55,1
2010,10,"Female","Indigenous",70,1
2010,10,"Female","Indigenous",75,1
2010,10,"Male","Indigenous",0,2
2010,10,"Male","Indigenous",20,1
2010,10,"Male","Indigenous",35,1
2010,10,"Male","Indigenous",70,1
2010,10,"Male","Indigenous",75,1
2010,10,"Male","Indigenous",80,2
2010,10,"Female","White",0,11
2010,10,"Female","White",5,1
2010,10,"Female","White",10,4
2010,10,"Female","White",15,1
2010,10,"Female","White",20,2
2010,10,"Female","White",25,3
2010,10,"Female","White",30,2
2010,10,"Female","White",35,4
2010,10,"Female","White",40,1
2010,10,"Female","White",45,10
2010,10,"Female","White",50,5
2010,10,"Female","White",55,15
2010,10,"Female","White",60,12
2010,10,"Female","White",65,17
2010,10,"Female","White",70,13
2010,10,"Female","White",75,20
2010,10,"Female","White",80,66
2010,10,"Male","White",0,19
2010,10,"Male","White",10,4
2010,10,"Male","White",15,5
2010,10,"Male","White",20,6
2010,10,"Male","White",25,4
2010,10,"Male","White",30,4
2010,10,"Male","White",35,7
2010,10,"Male","White",40,10
2010,10,"Male","White",45,5
2010,10,"Male","White",50,11
2010,10,"Male","White",55,13
2010,10,"Male","White",60,15
2010,10,"Male","White",65,19
2010,10,"Male","White",70,22
2010,10,"Male","White",75,20
2010,10,"Male","White",80,61
2010,11,"Female","Asian",25,1
2010,11,"Female","Asian",60,1
2010,11,"Female","Asian",80,2
2010,11,"Male","Asian",50,1
2010,11,"Male","Asian",60,1
2010,11,"Male","Asian",65,1
2010,11,"Female","Black",0,3
2010,11,"Female","Black",15,3
2010,11,"Female","Black",20,1
2010,11,"Female","Black",25,2
2010,11,"Female","Black",30,2
2010,11,"Female","Black",35,2
2010,11,"Female","Black",40,3
2010,11,"Female","Black",45,3
2010,11,"Female","Black",50,4
2010,11,"Female","Black",55,8
2010,11,"Female","Black",60,8
2010,11,"Female","Black",65,9
2010,11,"Female","Black",70,12
2010,11,"Female","Black",75,14
2010,11,"Female","Black",80,24
2010,11,"Male","Black",0,4
2010,11,"Male","Black",5,1
2010,11,"Male","Black",15,3
2010,11,"Male","Black",20,14
2010,11,"Male","Black",25,11
2010,11,"Male","Black",30,8
2010,11,"Male","Black",35,5
2010,11,"Male","Black",40,7
2010,11,"Male","Black",45,8
2010,11,"Male","Black",50,8
2010,11,"Male","Black",55,13
2010,11,"Male","Black",60,12
2010,11,"Male","Black",65,17
2010,11,"Male","Black",70,16
2010,11,"Male","Black",75,16
2010,11,"Male","Black",80,25
2010,11,"Female","Brown",0,46
2010,11,"Female","Brown",5,3
2010,11,"Female","Brown",10,5
2010,11,"Female","Brown",15,5
2010,11,"Female","Brown",20,14
2010,11,"Female","Brown",25,15
2010,11,"Female","Brown",30,14
2010,11,"Female","Brown",35,15
2010,11,"Female","Brown",40,20
2010,11,"Female","Brown",45,24
2010,11,"Female","Brown",50,24
2010,11,"Female","Brown",55,44
2010,11,"Female","Brown",60,42
2010,11,"Female","Brown",65,46
2010,11,"Female","Brown",70,55
2010,11,"Female","Brown",75,42
2010,11,"Female","Brown",80,127
2010,11,"Male","Brown",0,59
2010,11,"Male","Brown",5,6
2010,11,"Male","Brown",10,6
2010,11,"Male","Brown",15,26
2010,11,"Male","Brown",20,61
2010,11,"Male","Brown",25,63
2010,11,"Male","Brown",30,36
2010,11,"Male","Brown",35,33
2010,11,"Male","Brown",40,45
2010,11,"Male","Brown",45,33
2010,11,"Male","Brown",50,35
2010,11,"Male","Brown",55,64
2010,11,"Male","Brown",60,40
2010,11,"Male","Brown",65,58
2010,11,"Male","Brown",70,69
2010,11,"Male","Brown",75,74
2010,11,"Male","Brown",80,130
2010,11,"Female","Indigenous",10,1
2010,11,"Female","Indigenous",30,1
2010,11,"Female","Indigenous",75,1
2010,11,"Male","Indigenous",0,2
2010,11,"Male","Indigenous",25,1
2010,11,"Male","Indigenous",60,2
2010,11,"Male","Indigenous",65,1
2010,11,"Male","Indigenous",70,1
2010,11,"Male","Indigenous",75,2
2010,11,"Male","Indigenous",80,1
2010,11,"Female","White",0,13
2010,11,"Female","White",10,1
2010,11,"Female","White",15,5
2010,11,"Female","White",20,3
2010,11,"Female","White",25,2
2010,11,"Female","White",35,4
2010,11,"Female","White",40,5
